Mission_ID,Mission_Name,Agency,Country_Region,Agency_Type,Program_Type,Mission_Category,Sub_Category,Launch_Date,End_Date,Duration,Launch_Vehicle,Launch_Site,Status,Mission_Phase,Crew_Type,Crew_Members,Destination,Objective,Key_Achievement,Cost_USD_Million,Partner_Agencies,Data_Returned,Failure_Reason,Mission_Outcome_Detail,Reference_URL
NA-00025,Viking 2,NASA,USA,Government,Technology Demo,Mars,Sample Return,1995-06-28,2002-02-03,6.6 years,SLS,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Mars,Gamma-ray burst detection and cataloguing,Planned - objectives to be confirmed post-launch,2395.5,SpaceX,No,N/A,Exceeded planned science return by 3x,https://www.nasa.gov/mission/viking-2
NA-00026,Voyager 1,NASA,USA,Government,Commercial,Sun/Solar,Solar Observer,1991-09-14,1995-03-24,3.5 years,Saturn V,Vandenberg SFB,Partial Success,Past,Uncrewed,N/A,Sun/Solar,High-resolution Earth surface mapping,Detected organic molecules at surface,4064.2,None,No,Reduced data return,Landed successfully within target zone,https://www.nasa.gov/mission/voyager-1
NA-00027,Voyager 2,NASA,USA,Government,Human Spaceflight,Mars,Helicopter,2011-08-20,2011-10-12,53 days,SLS,Wallops Flight Facility,Success,Past,Crewed,"PS1, Pilot, MS1",Mars,Reusable launch vehicle technology demonstration,Successfully deployed all planned instruments,4151.2,JAXA,Partial,N/A,Planned - objectives to be confirmed post-launch,https://www.nasa.gov/mission/voyager-2
NA-00028,Pioneer 10,NASA,USA,Government,Telescope,Crewed Spaceflight,Moon Mission,1981-10-30,1991-05-13,9.5 years,SLS,Vandenberg SFB,Failed,Past,Uncrewed,N/A,Crewed Spaceflight,Microgravity biology experiment in LEO,Power system failure in transit,3677.6,None,No,Power system failure in transit,Successfully deployed all planned instruments,https://www.nasa.gov/mission/pioneer-10
NA-00029,Pioneer 11,NASA,USA,Government,Technology Demo,Mercury,Orbiter,1983-11-06,1995-06-07,11.6 years,SLS,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Mercury,Human lunar landing mission support,Deployed constellation of satellites,13983.8,ISRO,No,N/A,Captured highest resolution images to date,https://www.nasa.gov/mission/pioneer-11
NA-00030,STS-1,NASA,USA,Government,Satellite,Deep Space,Interstellar,1961-07-02,1962-02-14,227 days,Pegasus,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Deep Space,Mars atmospheric study and habitability assessment,Exceeded planned science return by 3x,10919.2,ESA,Partial,N/A,Historic first for agency and country,https://www.nasa.gov/mission/sts-1
NA-00031,STS-2,NASA,USA,Government,Robotic,Moon,Impactor,2012-12-15,N/A,Ongoing,Titan,Kennedy Space Center,Ongoing,Past,Uncrewed,N/A,Moon,Commercial crew certification flight,Deployed constellation of satellites,10734.7,SpaceX,Partial,N/A,First images returned from target destination,https://www.nasa.gov/mission/sts-2
NA-00032,STS-7,NASA,USA,Government,Commercial,Crewed Spaceflight,Space Station,2020-01-30,2022-06-06,2.4 years,Falcon 9,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Crewed Spaceflight,Space debris monitoring and removal,Achieved orbit insertion on first attempt,11662.9,None,Yes,N/A,Failed to achieve orbit due to launch vehicle anomaly,https://www.nasa.gov/mission/sts-7
NA-00033,STS-41B,NASA,USA,Government,Commercial,Earth Orbit,GEO,1965-10-24,1972-03-15,6.4 years,Delta IV,Kennedy Space Center,Failed,Past,Crewed,"MS1, Pilot",Earth Orbit,Commercial crew certification flight,N/A,995.0,ESA,No,N/A,Captured highest resolution images to date,https://www.nasa.gov/mission/sts-41b
NA-00034,STS-51L Challenger,NASA,USA,Government,Satellite,Sounding Rocket,Ionosphere Study,1992-10-16,2001-03-27,8.4 years,Delta IV,Vandenberg SFB,Success,Past,Crewed,"MS2, PS1, Commander",Sounding Rocket,Asteroid composition and deflection study,Detected organic molecules at surface,9928.6,None,Yes,N/A,Completed all primary mission objectives,https://www.nasa.gov/mission/sts-51l-challenger
NA-00035,STS-107 Columbia,NASA,USA,Government,Sounding Rocket,Deep Space,Voyager-type,1995-08-05,2004-02-09,8.5 years,Atlas V,Vandenberg SFB,Success,Past,Uncrewed,N/A,Deep Space,Interplanetary navigation technology test,First images returned from target destination,11444.1,None,No,N/A,Achieved orbit insertion on first attempt,https://www.nasa.gov/mission/sts-107-columbia
NA-00036,STS-51A,NASA,USA,Government,Human Spaceflight,Venus,Orbiter,2005-04-21,2018-04-06,13.0 years,SLS,Kennedy Space Center,Success,Past,Crewed,"Commander, Pilot, MS3, PS1",Venus,Venus atmospheric chemistry and surface mapping,Discovered new geological features,4415.6,None,Partial,N/A,Demonstrated reusable rocket landing,https://www.nasa.gov/mission/sts-51a
NA-00037,STS-61,NASA,USA,Government,Sounding Rocket,Venus,Orbiter,1957-07-02,N/A,Ongoing,Titan,Wallops Flight Facility,Ongoing,Past,Crewed,"MS2, MS1, PS2",Venus,Reusable launch vehicle technology demonstration,Partial success - secondary objectives met,9331.5,None,Yes,N/A,Partial success - secondary objectives met,https://www.nasa.gov/mission/sts-61
NA-00038,STS-109,NASA,USA,Government,Commercial,Earth Orbit,GEO,1989-03-10,1995-11-11,6.7 years,Pegasus,Wallops Flight Facility,Success,Past,Crewed,"PS1, MS1",Earth Orbit,Human lunar landing mission support,Successfully tested new propulsion system,13984.5,CSA,No,N/A,Failed to achieve orbit due to launch vehicle anomaly,https://www.nasa.gov/mission/sts-109
NA-00039,STS-125,NASA,USA,Government,Telescope,Asteroid,Flyby,1963-11-11,1972-02-22,8.3 years,Delta IV,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Asteroid,Lunar surface exploration and soil sample collection,First crewed landing at destination,731.7,SpaceX,No,N/A,Detected water ice at target location,https://www.nasa.gov/mission/sts-125
NA-00040,STS-132,NASA,USA,Government,Robotic,CubeSat,6U CubeSat,1967-02-27,1969-05-20,2.2 years,Saturn V,Vandenberg SFB,Success,Past,Crewed,"PS1, PS2, MS2, Pilot, MS1",CubeSat,Jupiter moon subsurface ocean investigation,Partial success - secondary objectives met,8392.9,ISRO,Partial,N/A,Landed successfully within target zone,https://www.nasa.gov/mission/sts-132
NA-00041,STS-135,NASA,USA,Government,Technology Demo,SmallSat,Tech Demo,2006-10-27,2017-11-11,11.0 years,Titan,Kennedy Space Center,Partial Success,Past,Uncrewed,N/A,SmallSat,Mars sample return mission support,Detected water ice at target location,7270.0,ESA,No,Reduced data return,Demonstrated reusable rocket landing,https://www.nasa.gov/mission/sts-135
NA-00042,Magellan,NASA,USA,Government,Human Spaceflight,Deep Space,Interstellar,1988-12-13,N/A,Ongoing,Saturn V,Vandenberg SFB,Ongoing,Past,Crewed,"PS2, PS1, Pilot, Commander, MS2, MS1",Deep Space,Reusable launch vehicle technology demonstration,First images returned from target destination,7167.3,None,Partial,N/A,Achieved orbit insertion on first attempt,https://www.nasa.gov/mission/magellan
NA-00043,Galileo,NASA,USA,Government,Human Spaceflight,Crewed Spaceflight,LEO Mission,1965-11-08,1970-09-20,4.9 years,Titan,Kennedy Space Center,Success,Past,Crewed,"MS3, MS1, PS2, Commander, PS1, MS2",Crewed Spaceflight,Earth climate monitoring and greenhouse gas measurement,Planned - objectives to be confirmed post-launch,11636.7,None,Partial,N/A,Successfully tested new propulsion system,https://www.nasa.gov/mission/galileo
NA-00044,Cassini-Huygens,NASA,USA,Government,Technology Demo,Venus,Flyby,1963-05-12,1971-03-13,7.8 years,Delta IV,Vandenberg SFB,Failed,Past,Uncrewed,N/A,Venus,Solar wind and coronal mass ejection monitoring,N/A,11512.2,None,Yes,N/A,Mission ongoing - data collection in progress,https://www.nasa.gov/mission/cassini-huygens
NA-00045,New Horizons,NASA,USA,Government,Human Spaceflight,Sun/Solar,Parker-type,2015-06-04,2020-10-26,5.4 years,Pegasus,Vandenberg SFB,Partial Success,Past,Uncrewed,N/A,Sun/Solar,Mars atmospheric study and habitability assessment,Captured highest resolution images to date,9359.7,None,Partial,Reduced data return,Discovered new geological features,https://www.nasa.gov/mission/new-horizons
NA-00046,Juno,NASA,USA,Government,Technology Demo,Earth Orbit,GEO,1958-06-28,1970-11-03,12.4 years,Saturn V,Kennedy Space Center,Success,Past,Crewed,"MS2, MS3, Pilot, MS1, PS2",Earth Orbit,Reusable launch vehicle technology demonstration,Extended mission beyond original timeline,12562.4,None,No,N/A,Detected water ice at target location,https://www.nasa.gov/mission/juno
NA-00047,Parker Solar Probe,NASA,USA,Government,Satellite,Communication Satellite,LEO Constellation,1979-09-13,1985-12-17,6.3 years,SLS,Kennedy Space Center,Success,Past,Uncrewed,N/A,Communication Satellite,Next-generation communication satellite deployment,Communication lost after initial deployment,1266.5,None,Partial,N/A,Extended mission beyond original timeline,https://www.nasa.gov/mission/parker-solar-probe
NA-00048,Hubble Space Telescope,NASA,USA,Government,Human Spaceflight,Mars,Orbiter,1999-11-01,1999-12-16,45 days,Space Shuttle,Kennedy Space Center,Failed,Past,Uncrewed,N/A,Mars,Gamma-ray burst detection and cataloguing,Debris impact damaged solar panels,5273.0,JAXA,No,Debris impact damaged solar panels,Landed successfully within target zone,https://www.nasa.gov/mission/hubble-space-telescope
NA-00049,Chandra X-ray Observatory,NASA,USA,Government,Human Spaceflight,Jupiter,Moon Study,2022-04-25,N/A,Ongoing,Falcon 9,Vandenberg SFB,Ongoing,Past,Crewed,"Pilot, PS1, PS2, MS1, MS3, MS2",Jupiter,Heliosphere boundary exploration,Collected and returned surface samples,7045.6,None,Partial,N/A,Extended mission beyond original timeline,https://www.nasa.gov/mission/chandra-x-ray-observatory
NA-00050,Spitzer Space Telescope,NASA,USA,Government,Telescope,Sun/Solar,L1 Point,2010-01-31,N/A,Ongoing,Atlas V,Vandenberg SFB,Ongoing,Past,Uncrewed,N/A,Sun/Solar,Heliosphere boundary exploration,Failed to achieve orbit due to launch vehicle anomaly,1029.3,CSA,Yes,N/A,First crewed landing at destination,https://www.nasa.gov/mission/spitzer-space-telescope
NA-00051,Kepler Space Telescope,NASA,USA,Government,Human Spaceflight,Technology Demo,Debris Removal,2020-09-21,2020-02-13,N/A,Delta IV,Kennedy Space Center,Failed,Past,Uncrewed,N/A,Technology Demo,Earth observation for disaster management,Landing system failure on descent,7963.4,None,No,Landing system failure on descent,First crewed landing at destination,https://www.nasa.gov/mission/kepler-space-telescope
NA-00052,TESS,NASA,USA,Government,Technology Demo,CubeSat,12U CubeSat,1992-04-23,2000-08-30,8.4 years,Atlas V,Kennedy Space Center,Success,Past,Crewed,"MS1, MS2, MS3",CubeSat,Next-generation communication satellite deployment,Discovered new geological features,5928.6,None,No,N/A,Landed successfully within target zone,https://www.nasa.gov/mission/tess
NA-00053,James Webb Space Telescope,NASA,USA,Government,Sounding Rocket,Moon,Impactor,1970-12-06,1983-03-15,12.3 years,Titan,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Moon,Jupiter moon subsurface ocean investigation,Partial success - secondary objectives met,2483.9,None,Partial,N/A,Confirmed presence of subsurface water,https://www.nasa.gov/mission/james-webb-space-telescope
NA-00054,Mars Observer,NASA,USA,Government,Human Spaceflight,Saturn,Orbiter,1981-06-01,1989-01-17,7.6 years,Pegasus,Vandenberg SFB,Success,Past,Uncrewed,N/A,Saturn,Commercial crew certification flight,Achieved orbit insertion on first attempt,11567.0,ISRO,Yes,N/A,Planned - objectives to be confirmed post-launch,https://www.nasa.gov/mission/mars-observer
NA-00055,Mars Global Surveyor,NASA,USA,Government,Commercial,Jupiter,Probe,2001-03-06,2009-05-11,8.2 years,Space Shuttle,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Jupiter,Orbital mechanics experiment for future missions,Mission ongoing - data collection in progress,1086.6,SpaceX,No,N/A,Deployed constellation of satellites,https://www.nasa.gov/mission/mars-global-surveyor
NA-00056,Mars Odyssey,NASA,USA,Government,Robotic,Mercury,Flyby,2006-09-27,2019-10-16,13.1 years,Atlas V,Wallops Flight Facility,Partial Success,Past,Crewed,"MS3, PS1, MS2",Mercury,Mars sample return mission support,Communication lost after initial deployment,726.7,ISRO,Yes,Secondary objective not met,Exceeded planned science return by 3x,https://www.nasa.gov/mission/mars-odyssey
NA-00057,Mars Express,NASA,USA,Government,Commercial,Moon,Flyby,2015-01-31,2016-01-25,359 days,Falcon 9,Vandenberg SFB,Success,Past,Uncrewed,N/A,Moon,Jupiter moon subsurface ocean investigation,Confirmed presence of subsurface water,12495.7,None,Partial,N/A,Collected and returned surface samples,https://www.nasa.gov/mission/mars-express
NA-00058,MER-A Spirit,NASA,USA,Government,Sounding Rocket,Mars,Helicopter,1977-05-30,N/A,Ongoing,Falcon 9,Kennedy Space Center,Ongoing,Past,Uncrewed,N/A,Mars,Orbital mechanics experiment for future missions,Partial success - secondary objectives met,10420.1,None,Partial,N/A,Achieved supersonic retropropulsion,https://www.nasa.gov/mission/mer-a-spirit
NA-00059,MER-B Opportunity,NASA,USA,Government,Commercial,Deep Space,Interstellar,1995-11-10,2009-07-26,13.7 years,Atlas V,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Deep Space,Heliosphere boundary exploration,Successfully deployed all planned instruments,2738.7,ISRO,No,N/A,Captured highest resolution images to date,https://www.nasa.gov/mission/mer-b-opportunity
NA-00060,Phoenix,NASA,USA,Government,Robotic,Crewed Spaceflight,Test Flight,2013-03-27,2017-03-15,4.0 years,SLS,Kennedy Space Center,Success,Past,Crewed,"Commander, Pilot, PS1, MS3, PS2",Crewed Spaceflight,Deep space gravitational wave detection,Extended mission beyond original timeline,14534.9,ESA,Partial,N/A,Successfully deployed all planned instruments,https://www.nasa.gov/mission/phoenix
NA-00061,Curiosity,NASA,USA,Government,Robotic,Venus,Flyby,1972-07-02,1985-05-01,12.8 years,Titan,Kennedy Space Center,Success,Past,Uncrewed,N/A,Venus,Deep space gravitational wave detection,Successfully deployed all planned instruments,12852.9,ESA,Yes,N/A,Captured highest resolution images to date,https://www.nasa.gov/mission/curiosity
NA-00062,InSight,NASA,USA,Government,Commercial,SmallSat,Earth Imaging,1974-11-08,N/A,Ongoing,Saturn V,Kennedy Space Center,Ongoing,Past,Uncrewed,N/A,SmallSat,Gamma-ray burst detection and cataloguing,Captured highest resolution images to date,301.0,None,Partial,N/A,Successfully deployed all planned instruments,https://www.nasa.gov/mission/insight
NA-00063,Perseverance,NASA,USA,Government,Sounding Rocket,Sounding Rocket,Microgravity Exp,2008-11-21,2021-07-07,12.6 years,Falcon 9,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Sounding Rocket,Earth climate monitoring and greenhouse gas measurement,Failed to achieve orbit due to launch vehicle anomaly,5421.5,None,Yes,N/A,Failed to achieve orbit due to launch vehicle anomaly,https://www.nasa.gov/mission/perseverance
NA-00064,Ingenuity Helicopter,NASA,USA,Government,Sounding Rocket,Venus,Orbiter,1965-12-16,1972-04-16,6.3 years,Saturn V,Vandenberg SFB,Success,Past,Uncrewed,N/A,Venus,Deep space gravitational wave detection,Confirmed presence of subsurface water,11975.9,ESA,Partial,N/A,Achieved orbit insertion on first attempt,https://www.nasa.gov/mission/ingenuity-helicopter
NA-00065,MAVEN,NASA,USA,Government,Telescope,Earth Orbit,SSO,1999-04-23,2007-12-16,8.7 years,Titan,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Earth Orbit,Space debris monitoring and removal,Landed successfully within target zone,5407.0,SpaceX,Partial,N/A,Completed all primary mission objectives,https://www.nasa.gov/mission/maven
NA-00066,Mars Reconnaissance Orbiter,NASA,USA,Government,Technology Demo,Mars,Flyby,1980-01-15,N/A,Ongoing,Delta IV,Kennedy Space Center,Ongoing,Past,Crewed,"PS1, PS2, Commander, Pilot",Mars,ISS crew rotation and life support resupply,Completed all primary mission objectives,5762.1,ISRO,Partial,N/A,Successfully deployed all planned instruments,https://www.nasa.gov/mission/mars-reconnaissance-orbiter
NA-00067,Lunar Prospector,NASA,USA,Government,Telescope,CubeSat,16U CubeSat,1978-03-20,N/A,Ongoing,Space Shuttle,Kennedy Space Center,Ongoing,Past,Uncrewed,N/A,CubeSat,Solar wind and coronal mass ejection monitoring,Detected water ice at target location,26.5,None,Yes,N/A,Detected organic molecules at surface,https://www.nasa.gov/mission/lunar-prospector
NA-00068,LCROSS,NASA,USA,Government,Human Spaceflight,Venus,Atmospheric Probe,1972-09-16,1973-06-15,272 days,Atlas V,Kennedy Space Center,Failed,Past,Uncrewed,N/A,Venus,Commercial crew certification flight,N/A,2104.1,None,Partial,N/A,Successfully deployed all planned instruments,https://www.nasa.gov/mission/lcross
NA-00069,LADEE,NASA,USA,Government,Sounding Rocket,CubeSat,12U CubeSat,1967-04-23,1975-10-31,8.5 years,Saturn V,Vandenberg SFB,Success,Past,Crewed,"Pilot, PS2, MS1, MS2",CubeSat,Asteroid composition and deflection study,Landed successfully within target zone,6744.3,None,Yes,N/A,Captured highest resolution images to date,https://www.nasa.gov/mission/ladee
NA-00070,Lunar Reconnaissance Orbiter,NASA,USA,Government,Satellite,Jupiter,Moon Study,1988-06-28,1999-04-03,10.8 years,Pegasus,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Jupiter,Mars atmospheric study and habitability assessment,Demonstrated reusable rocket landing,3504.2,None,Yes,N/A,Failed to achieve orbit due to launch vehicle anomaly,https://www.nasa.gov/mission/lunar-reconnaissance-orbiter
NA-00071,NEAR Shoemaker,NASA,USA,Government,Robotic,Communication Satellite,Military,1959-10-11,1968-07-22,8.8 years,Saturn V,Vandenberg SFB,Partial Success,Past,Uncrewed,N/A,Communication Satellite,Microgravity biology experiment in LEO,Communication lost after initial deployment,13051.5,ESA,Partial,Secondary objective not met,Failed to achieve orbit due to launch vehicle anomaly,https://www.nasa.gov/mission/near-shoemaker
NA-00072,Dawn,NASA,USA,Government,Telescope,Deep Space,Voyager-type,1977-01-28,N/A,Ongoing,Saturn V,Wallops Flight Facility,Ongoing,Past,Uncrewed,N/A,Deep Space,Interplanetary navigation technology test,Broke distance record for agency,13899.8,None,Partial,N/A,Communication lost after initial deployment,https://www.nasa.gov/mission/dawn
NA-00073,OSIRIS-REx,NASA,USA,Government,Sounding Rocket,CubeSat,3U CubeSat,1975-10-27,1983-01-03,7.2 years,Delta IV,Wallops Flight Facility,Success,Past,Uncrewed,N/A,CubeSat,High-resolution Earth surface mapping,Landed successfully within target zone,1042.7,None,No,N/A,Detected water ice at target location,https://www.nasa.gov/mission/osiris-rex
NA-00074,DART,NASA,USA,Government,Technology Demo,SmallSat,Tech Demo,1977-10-29,1977-07-13,N/A,Delta IV,Vandenberg SFB,Partial Success,Past,Uncrewed,N/A,SmallSat,Earth climate monitoring and greenhouse gas measurement,Communication lost after initial deployment,13985.3,None,Yes,Partial instrument failure,Achieved orbit insertion on first attempt,https://www.nasa.gov/mission/dart
